altitude,angular_velocity.x,angular_velocity.y,angular_velocity.z,current,latitude,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z,longitude,sequence,timestamp,topic,twist.linear.x,twist.linear.y,twist.linear.z,voltage
,3.780671613640152e-05,4.70442209916655e-05,5.754094308940694e-05,,,-0.0014275547582656145,-0.00043000944424420595,-9.817270278930664,,0,2025-06-25T01:38:24.476Z,/ap/imu/experimental/data,,,,
,8.791424079390708e-06,1.2469929060898721e-05,7.650983752682805e-05,,,-0.0009895289549604058,-0.001004259567707777,-9.816969871520996,,0,2025-06-25T01:38:24.480Z,/ap/imu/experimental/data,,,,
,,,,,,,,,,0,2025-06-25T01:38:24.486Z,/ap/twist/filtered,5.6084772950271145e-05,-2.4115095584420487e-05,-0.004957087337970734,
,-1.620178227312863e-05,2.7221497020946117e-06,6.65037878206931e-05,,,-0.0008219071896746755,-0.0013995966874063015,-9.81686782836914,,0,2025-06-25T01:38:24.486Z,/ap/imu/experimental/data,,,,
,-1.627205165277701e-05,4.161644392297603e-05,3.338637907290831e-05,,,-0.0009209135314449668,-0.0017656695563346148,-9.81701946258545,,0,2025-06-25T01:38:24.490Z,/ap/imu/experimental/data,,,,
,1.1616391930147074e-05,6.613141886191443e-05,-7.157060281315353e-06,,,-0.0008746639359742403,-0.0018836291274055839,-9.817438125610352,,0,2025-06-25T01:38:24.496Z,/ap/imu/experimental/data,,,,
,4.898642509942874e-05,4.647576133720577e-05,3.678002758533694e-05,,,-0.0017817664192989469,-0.0016572106396779418,-9.817438125610352,,0,2025-06-25T01:38:24.508Z,/ap/imu/experimental/data,,,,
,3.512442344799638e-05,2.9175296731409617e-05,6.270845187827945e-05,,,-0.001313942950218916,-0.0010261472780257463,-9.816865921020508,,0,2025-06-25T01:38:24.513Z,/ap/imu/experimental/data,,,,
,,,,,,,,,,0,2025-06-25T01:38:24.520Z,/ap/twist/filtered,9.599898476153612e-05,-3.735831705853343e-05,-0.01379956491291523,
,2.8455910069169477e-05,4.791581159224734e-05,7.820923201506957e-05,,,-0.0007378982263617218,-0.0006995311705395579,-9.816737174987793,,0,2025-06-25T01:38:24.520Z,/ap/imu/experimental/data,,,,
,1.8771168470266275e-05,7.502795051550493e-05,9.229568240698427e-05,,,-0.0006028452189639211,-0.0006276281201280653,-9.816781997680664,,0,2025-06-25T01:38:24.525Z,/ap/imu/experimental/data,,,,
,-1.3576187711805687e-06,6.251550075830892e-05,7.535082113463432e-05,,,-0.0007534201722592115,-0.0009656837210059166,-9.816841125488281,,0,2025-06-25T01:38:24.531Z,/ap/imu/experimental/data,,,,
,7.142738013499184e-06,5.0046710384776816e-05,3.381581336725503e-05,,,-0.0004925974062643945,-0.0018415728118270636,-9.816831588745117,,0,2025-06-25T01:38:24.543Z,/ap/imu/experimental/data,,,,
,3.105226278421469e-05,6.676265911664814e-05,2.6018453354481608e-05,,,-0.0007332345121540129,-0.001274579088203609,-9.817187309265137,,0,2025-06-25T01:38:24.549Z,/ap/imu/experimental/data,,,,
,,,,,,,,,,0,2025-06-25T01:38:24.556Z,/ap/twist/filtered,0.000132906818180345,-6.158312316983938e-05,-0.021106256172060966,
,4.586301656672731e-05,0.00011779118358390406,4.8935537051875144e-05,,,-0.0016815282870084047,-0.0005711133126169443,-9.817604064941406,,0,2025-06-25T01:38:24.556Z,/ap/imu/experimental/data,,,,
,2.675613905012142e-05,0.00011492452176753432,5.432508623925969e-05,,,-0.002013314049690962,-0.0004970894660800695,-9.817299842834473,,0,2025-06-25T01:38:24.561Z,/ap/imu/experimental/data,,,,
,-3.3320297916361596e-06,9.032164234668016e-05,6.186600512592122e-05,,,-0.0022760911379009485,-0.00021384535648394376,-9.816861152648926,,0,2025-06-25T01:38:24.566Z,/ap/imu/experimental/data,,,,
,4.074985554325394e-05,6.0814716562163085e-05,9.96099115582183e-05,,,-0.0018949760124087334,-0.001158312545157969,-9.816295623779297,,0,2025-06-25T01:38:24.578Z,/ap/imu/experimental/data,,,,
,5.7456134527456015e-05,5.4115265811560676e-05,7.581216777907684e-05,,,-0.0010678359540179372,-0.0017671099631115794,-9.816912651062012,,0,2025-06-25T01:38:24.584Z,/ap/imu/experimental/data,,,,
,,,,,,,,,,0,2025-06-25T01:38:24.590Z,/ap/twist/filtered,0.00015706283738836646,-8.228616206906736e-05,-0.03107305057346821,
,6.583714275620878e-05,6.565854710061103e-05,5.3988223953638226e-05,,,-0.00043697055662050843,-0.0018506504129618406,-9.81753921508789,,0,2025-06-25T01:38:24.590Z,/ap/imu/experimental/data,,,,
,4.568267831928097e-05,6.03340522502549e-05,8.46522962092422e-05,,,-0.0009344301652163267,-0.0020673384424299,-9.817873001098633,,0,2025-06-25T01:38:24.596Z,/ap/imu/experimental/data,,,,
,1.9308332412038e-05,5.419663284556009e-05,5.949948535999283e-05,,,-0.001910003018565476,-0.0017922717379406095,-9.817678451538086,,0,2025-06-25T01:38:24.607Z,/ap/imu/experimental/data,,,,
,4.376412834972143e-05,6.06087596679572e-05,2.5059591280296445e-05,,,-0.0017346208915114403,-0.0014194509712979198,-9.81771469116211,,0,2025-06-25T01:38:24.612Z,/ap/imu/experimental/data,,,,
,5.735751619795337e-05,5.9748512285295874e-05,-2.8658861992880702e-05,,,-0.0016514175804331899,-0.0012728082947432995,-9.817481994628906,,0,2025-06-25T01:38:24.619Z,/ap/imu/experimental/data,,,,
,,,,,,,,,,0,2025-06-25T01:38:24.628Z,/ap/twist/filtered,0.00018051864753942937,-0.00012108653754694387,-0.039723604917526245,
,2.1485626348294318e-05,5.761993816122413e-05,-4.326327325543389e-05,,,-0.0017084565479308367,-0.0010241831187158823,-9.818094253540039,,0,2025-06-25T01:38:24.628Z,/ap/imu/experimental/data,,,,
,4.497809641179629e-06,5.944368604104966e-05,-3.2541131076868623e-05,,,-0.0016267318278551102,-0.000890037976205349,-9.818326950073242,,0,2025-06-25T01:38:24.632Z,/ap/imu/experimental/data,,,,
,1.6347619748557918e-05,2.963157203339506e-05,-1.7441678210161626e-05,,,-0.0005997048574499786,-0.00038195843808352947,-9.816564559936523,,0,2025-06-25T01:38:24.642Z,/ap/imu/experimental/data,,,,
,3.239218858652748e-05,2.4623317585792392e-05,-2.2886837541591376e-05,,,-0.00047419939073733985,-0.00030475150560960174,-9.81631088256836,,0,2025-06-25T01:38:24.648Z,/ap/imu/experimental/data,,,,
,1.6237516319961287e-05,3.257004209444858e-05,-1.534916737000458e-05,,,-0.00026101485127583146,-0.00012224458623677492,-9.81643295288086,,0,2025-06-25T01:38:24.653Z,/ap/imu/experimental/data,,,,
,,,,,,,,,,0,2025-06-25T01:38:24.660Z,/ap/twist/filtered,0.0002402091777184978,-0.00011331973655615002,-0.047293197363615036,
,4.3182892113691196e-05,7.50287581468001e-05,1.0855063919734675e-05,,,-0.0006085402565076947,4.234585503581911e-05,-9.817075729370117,,0,2025-06-25T01:38:24.660Z,/ap/imu/experimental/data,,,,
,5.8830926718655974e-05,7.182546687545255e-05,5.329865962266922e-05,,,-0.0006764871650375426,-0.0004388854431454092,-9.817496299743652,,0,2025-06-25T01:38:24.666Z,/ap/imu/experimental/data,,,,
,5.2895025874022394e-05,7.058461778797209e-05,7.061925862217322e-05,,,-0.0008267185767181218,-0.0012279108632355928,-9.81789493560791,,0,2025-06-25T01:38:24.676Z,/ap/imu/experimental/data,,,,
,4.227111639920622e-05,6.549451063619927e-05,5.4536405514227226e-05,,,-0.0004504826501943171,-0.0010932523291558027,-9.817291259765625,,0,2025-06-25T01:38:24.683Z,/ap/imu/experimental/data,,,,
,4.8156100092455745e-05,6.969517562538385e-05,3.644917160272598e-05,,,-0.00015146569057833403,-0.0008733755676075816,-9.817156791687012,,0,2025-06-25T01:38:24.689Z,/ap/imu/experimental/data,,,,
,,,,,,,,,,0,2025-06-25T01:38:24.694Z,/ap/twist/filtered,0.0002715783193707466,-0.00010179978562518954,-0.05382456257939339,
,1.9685532606672496e-05,5.958249676041305e-05,5.701522240997292e-05,,,8.421584061579779e-05,-0.00130564218852669,-9.817022323608398,,0,2025-06-25T01:38:24.694Z,/ap/imu/experimental/data,,,,
,4.165221980656497e-06,3.142719651805237e-05,2.6540397811913863e-05,,,0.00020446968846954405,-0.00150609842967242,-9.816984176635742,,0,2025-06-25T01:38:24.700Z,/ap/imu/experimental/data,,,,
,3.122696216451004e-05,-2.405945815553423e-05,-2.993228736158926e-05,,,2.1978030417812988e-05,-0.000983554869890213,-9.817300796508789,,0,2025-06-25T01:38:24.713Z,/ap/imu/experimental/data,,,,
,2.991590736201033e-05,1.7299842056672787e-06,-6.569221568497596e-06,,,-0.0008803805103525519,-0.0010299289133399725,-9.81766128540039,,0,2025-06-25T01:38:24.718Z,/ap/imu/experimental/data,,,,
,2.9349959731916897e-05,4.071186140208738e-06,2.5593628379283473e-05,,,-0.001310920575633645,-0.0006140647456049919,-9.817985534667969,,0,2025-06-25T01:38:24.723Z,/ap/imu/experimental/data,,,,
,,,,,,,,,,0,2025-06-25T01:38:24.729Z,/ap/twist/filtered,0.0003221430815756321,-0.00013523048255592585,-0.05754578486084938,
